Reference area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Scotland,355.1,371.7,381.3,390.4,408.6,428.1,441.7,462.6,472.8,488,485,497.6
Dumfries and Galloway,356.8,363.5,360.1,349.8,364.5,376,403.1,416.8,434.3,443.3,420.1,400
